,AdvertisingExpenses (in Thousand Dollars),Average upland harvested(million acres),Average upland planted(million acres),CPI,Change(in%),CommercialBankInterestRateonCreditCardPlans,Cotton Monthly Price - US cents per Pound(lbs),Earnings or wages  in dollars per hour,Exports,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Mill use  (in  480-lb netweright in million bales),Monthly Nominal GDP Index (inMillion$),Monthly Real GDP Index (inMillion$),PartyInPower,Period,ProductCategory,Production (in  480-lb netweright in million bales),Sales(In ThousandDollars),Unnamed: 0,Unnamed: 0.1,unemployment rate,yieldperharvested acre
37,?,9.443999999999999,14.425999999999998,250.285,-0.36,12.34,100.75,23.4,10.35,10.89,3.475,16073.575,15385.847,Democrats,2012 - Feb,MenClothing,14.828,545.0,112,112.0,8.3,754
38,?,9.443999999999999,14.425999999999998,251.887,-1.24,12.34,99.5,23.39,10.35,10.89,3.375,15983.565,15261.341,Democrats,2012 - Mar,MenClothing,14.828,623.0,115,115.0,8.2,754
39,?,9.156,14.427999999999999,252.34900000000002,0.6,12.34,100.1,23.61,10.75,10.89,3.373,16091.228000000001,15340.653999999999,Democrats,2012 - Apr,MenClothing,14.722000000000001,711.0,118,118.0,8.2,772
40,?,9.156,14.427999999999999,252.65200000000002,-11.56,12.06,88.53,23.32,10.75,10.94,3.373,16121.958999999999,15354.651000000002,Democrats,2012 - May,MenClothing,14.722000000000001,725.0,121,121.0,8.2,772
41,208,10.234,12.885,252.40599999999998,-7.17,12.06,82.18,23.27,11.1,10.94,3.47,16152.366000000002,15392.249,Democrats,2012 - Jun,MenClothing,16.28,703.0,124,124.0,8.2,764
42,?,10.167,12.4,252.016,2.18,12.06,83.97,23.48,11.4,10.94,3.375,16239.42,15433.37,Democrats,2012 - Jul,MenClothing,16.365,613.0,127,127.0,8.2,773
43,201,10.577,12.4,253.472,0.51,11.95,84.4,23.26,11.375,10.37,3.375,16161.118,15317.423999999999,Democrats,2012 - Aug,MenClothing,16.988,673.8088235294117,130,130.0,8.1,771
44,?,10.206,12.120999999999999,254.554,-0.3,11.95,84.15,23.67,11.075,10.37,3.375,16283.278999999999,15391.877,Democrats,2012 - Sep,MenClothing,16.452,687.0,133,133.0,7.8,774
45,?,10.206,12.120999999999999,254.27700000000002,-2.61,11.95,81.95,23.52,10.875,10.37,3.375,16208.315,15292.35,Democrats,2012 - Oct,MenClothing,16.63,710.0,136,136.0,7.8,782
46,?,10.206,12.120999999999999,254.285,-1.32,11.88,80.87,23.58,10.875,10.64,3.375,16272.706,15362.098,Democrats,2012 - Nov,MenClothing,16.79,731.0,139,139.0,7.7,790
47,?,10.206,12.120999999999999,253.555,3.09,11.88,83.37,23.85,11.075,10.64,3.375,16411.026,15498.652,Democrats,2012 - Dec,MenClothing,16.6,1080.0,142,142.0,7.9,781
48,?,9.19,12.077,254.80700000000002,2.57,11.88,85.51,23.88,11.475,10.64,3.38,16503.916,15554.427,Democrats,2013 - Jan,MenClothing,16.25,599.0,145,145.0,8.0,849
49,?,9.19,12.077,256.23400000000004,4.91,11.94,89.71,23.9,11.75,10.12,3.38,16433.883,15435.675,Democrats,2013 - Feb,MenClothing,16.25,560.0,148,148.0,7.7,849
50,?,9.19,12.077,256.589,5.28,11.94,94.45,23.84,12.0,10.12,3.38,16488.522,15485.738000000001,Democrats,2013 - Mar,MenClothing,16.25,682.0,151,151.0,7.5,849
51,?,9.19,12.077,255.967,-2.02,11.94,92.54,23.92,12.225,10.12,3.38,16521.134,15529.836000000001,Democrats,2013 - Apr,MenClothing,16.51,718.0,154,154.0,7.6,862
52,?,9.135,12.075999999999999,256.27,0.09,11.95,92.62,23.8,12.45,10.34,3.38,16461.873,15450.319,Democrats,2013 - May,MenClothing,16.535,749.0,157,157.0,7.5,869
53,?,7.896,9.82,256.911,0.5,11.95,93.08,23.92,10.35,10.34,3.475,16641.163,15584.748,Democrats,2013 - Jun,MenClothing,12.92,678.0,160,160.0,7.5,785
54,?,7.579,10.025,257.32599999999996,-0.49,11.95,92.62,23.81,10.35,10.34,3.475,16685.742,15606.008,Democrats,2013 - Jul,MenClothing,12.872,648.0,163,163.0,7.3,815
55,?,7.519,10.015,257.659,0.1,11.88,92.71,23.8,13.38,10.13,3.48,16776.993000000002,15673.44,Democrats,2013 - Aug,MenClothing,12.472999999999999,687.0,166,166.0,7.3,796
56,?,7.5820000000000025,10.136000000000001,258.504,-2.83,11.88,90.09,24.16,9.65,10.13,3.48,16785.311999999998,15644.832,Democrats,2013 - Sep,MenClothing,12.273,681.0,169,169.0,7.2,777
57,?,7.5820000000000025,10.136000000000001,257.069,-0.82,11.88,89.35,24.04,9.65,10.13,3.48,16884.855,15729.958999999999,Democrats,2013 - Oct,MenClothing,12.273,785.0,172,172.0,7.2,777
58,?,7.5820000000000025,10.136000000000001,257.377,-5.26,11.85,84.65,24.11,9.65,10.22,3.58,17053.738,15841.758999999998,Democrats,2013 - Nov,MenClothing,12.479000000000001,798.0,175,175.0,6.9,790
59,?,7.5820000000000025,10.136000000000001,257.284,3.35,11.85,87.49,24.3,9.65,10.22,3.58,17061.071,15810.41,Democrats,2013 - Dec,MenClothing,12.443,1085.0,178,178.0,6.7,788
60,?,7.465,10.206,259.596,3.97,11.85,90.96,24.35,9.75,10.22,3.58,16955.609,15705.973,Democrats,2014 - Jan,MenClothing,12.550999999999998,573.0,181,181.0,6.6,807
61,?,7.465,10.206,259.019,3.4,11.83,94.05,24.58,9.75,10.09,3.58,17028.586,15762.598999999998,Democrats,2014 - Feb,MenClothing,12.550999999999998,636.0,184,184.0,6.7,807
62,?,7.465,10.206,259.971,3.08,11.83,96.95,24.5,9.95,10.09,3.58,17109.777,15804.518999999998,Democrats,2014 - Mar,MenClothing,12.550999999999998,702.0,187,187.0,6.7,807
63,?,7.465,10.206,259.985,-2.84,11.83,94.2,24.4,9.975,10.09,3.58,17208.865,15870.178,Democrats,2014 - Apr,MenClothing,12.234000000000002,785.0,190,190.0,6.2,787
64,?,7.345,10.206,261.225,-1.58,11.83,92.71,24.3,9.675,9.57,3.58,17345.334,15946.741000000002,Democrats,2014 - May,MenClothing,12.275,801.0,193,193.0,6.3,802
65,?,8.594,10.943,261.35,-1.95,11.83,90.9,24.42,9.22,9.57,3.675,17408.564,15990.976999999999,Democrats,2014 - Jun,MenClothing,14.512,702.0,196,196.0,6.1,811
66,?,8.594,11.190999999999999,261.498,-7.77,11.83,83.84,24.31,9.72,9.57,3.775,17551.781000000006,16089.499,Democrats,2014 - Jul,MenClothing,15.955,655.0,199,199.0,6.2,804
67,?,10.065,11.190999999999999,261.075,-11.74,11.82,74.0,24.32,10.15,10.73,3.775,17684.635,16196.42,Democrats,2014 - Aug,MenClothing,16.945999999999998,692.0,202,202.0,6.2,808
68,?,9.692,10.818,261.074,-0.84,11.82,73.38,24.5,9.45,10.73,3.775,17630.355,16133.048999999999,Democrats,2014 - Sep,MenClothing,15.96,673.8088235294117,205,205.0,5.9,790
69,?,9.692,10.818,260.5,-4.14,11.82,70.34,24.52,9.45,10.73,3.775,17709.436999999998,16196.813999999995,Democrats,2014 - Oct,MenClothing,15.677,757.0,208,208.0,5.7,776
70,?,9.692,10.818,259.382,-3.99,11.99,67.53,24.78,9.45,10.47,3.775,17765.338,16243.055,Democrats,2014 - Nov,MenClothing,15.819,803.0,211,211.0,5.8,783
71,?,9.692,10.818,258.08,1.14,11.99,68.3,24.59,9.45,10.47,3.775,17733.023999999998,16221.18,Democrats,2014 - Dec,MenClothing,15.345,1070.0,214,214.0,5.6,760
0,?,9.517999999999999,10.845,258.376,-1.39,11.99,67.35,24.88,9.45,10.47,3.775,17792.117,16319.786,Democrats,2015 - Jan,MenClothing,15.495999999999999,,1,,5.7,760
1,?,9.517999999999999,10.845,259.24,3.7,11.98,69.84,25.05,10.2,9.85,3.625,17931.046000000002,16400.927,Democrats,2015 - Feb,MenClothing,15.495999999999999,,4,,5.5,781
2,?,9.517999999999999,10.845,259.647,-0.7,11.98,69.35,25.04,10.25,9.85,3.625,17900.982,16329.524,Democrats,2015 - Mar,MenClothing,15.495999999999999,,7,,5.4,781
3,?,9.517999999999999,10.845,259.959,3.39,11.98,71.7,24.94,10.25,9.85,3.625,18015.748,16427.137,Democrats,2015 - Apr,MenClothing,15.735,,10,,5.4,794
4,?,9.157,10.845,261.066,1.62,12.04,72.86,24.88,10.3,9.69,3.625,18075.281000000003,16434.482,Democrats,2015 - May,MenClothing,15.753,,13,,5.5,826
5,?,8.451,9.399,261.512,-0.7,12.04,72.35,24.77,10.15,9.69,3.775,18188.642,16521.302,Democrats,2015 - Jun,MenClothing,14.03,,16,,5.3,797
6,?,7.749,8.75,261.347,-0.73,12.1,71.82,25.04,9.475,9.8,3.675,18201.393,16505.538,Democrats,2015 - Aug,MenClothing,12.65,,22,,5.1,784
7,?,8.012,8.398,261.887,-4.29,12.1,68.74,25.05,9.7,9.8,3.675,18317.816000000003,16601.49,Democrats,2015 - Sep,MenClothing,12.977,,25,,5.0,777
8,183,8.012,8.398,261.515,0.42,12.1,69.03,25.14,9.7,9.8,3.675,18278.304,16540.86,Democrats,2015 - Oct,MenClothing,12.887,,28,,5.0,772
9,?,7.995,8.398,261.009,0.28,12.22,69.22,25.38,9.7,9.66,3.675,18266.245,16524.199,Democrats,2015 - Nov,MenClothing,12.83,,31,,5.0,770
10,?,7.995,8.398,259.941,1.69,12.22,70.39,25.21,9.5,9.66,3.675,18317.129,16578.005,Democrats,2015 - Dec,MenClothing,12.58,,34,,5.0,755
